IMAGE,NAME,CODE,TYPE,BRAND,CATEGORY,UNIT_CODE,COST,PRICE,PRODUCT_DETAILS,VARIANT_VALUE,VARIANT_NAME,ITEM_CODE,ADDITIONAL_COST,ADDITIONAL_PRICE
apex-formal-oxford.jpg,"Apex Men Formal Leather Oxford",SHOE-101,standard,Apex,জেন্টস,pair,2200.00,3200.00,"Premium genuine leather formal oxford shoes for men","Color[Black/Brown],Size[39/40/41/42]","Black/39,Black/40,Black/41,Black/42,Brown/39,Brown/40,Brown/41,Brown/42","Black/39-SHOE-101,Black/40-SHOE-101,Black/41-SHOE-101,Black/42-SHOE-101,Brown/39-SHOE-101,Brown/40-SHOE-101,Brown/41-SHOE-101,Brown/42-SHOE-101","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0"
bata-executive-derby.jpg,"Bata Executive Derby Shoes",SHOE-102,standard,Bata,জেন্টস,pair,1800.00,2690.00,"Classic derby leather shoes suitable for office and formal wear","Color[Black/Tan],Size[40/41/42/43]","Black/40,Black/41,Black/42,Black/43,Tan/40,Tan/41,Tan/42,Tan/43","Black/40-SHOE-102,Black/41-SHOE-102,Black/42-SHOE-102,Black/43-SHOE-102,Tan/40-SHOE-102,Tan/41-SHOE-102,Tan/42-SHOE-102,Tan/43-SHOE-102","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0"
apex-casual-loafer.jpg,"Apex Men Casual Penny Loafer",SHOE-103,standard,Apex,জেন্টস,pair,1600.00,2450.00,"Comfortable slip-on casual penny loafer with cushioned insole","Color[Black/Coffee],Size[39/40/41/42/43]","Black/39,Black/40,Black/41,Black/42,Black/43,Coffee/39,Coffee/40,Coffee/41,Coffee/42,Coffee/43","Black/39-SHOE-103,Black/40-SHOE-103,Black/41-SHOE-103,Black/42-SHOE-103,Black/43-SHOE-103,Coffee/39-SHOE-103,Coffee/40-SHOE-103,Coffee/41-SHOE-103,Coffee/42-SHOE-103,Coffee/43-SHOE-103","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0"
bata-power-running.jpg,"Bata Power Running Sports Shoes",SHOE-104,standard,Bata,জেন্টস,pair,1900.00,2990.00,"Breathable mesh running shoes with shock absorption sole","Color[Navy/Grey],Size[40/41/42/43/44]","Navy/40,Navy/41,Navy/42,Navy/43,Navy/44,Grey/40,Grey/41,Grey/42,Grey/43,Grey/44","Navy/40-SHOE-104,Navy/41-SHOE-104,Navy/42-SHOE-104,Navy/43-SHOE-104,Navy/44-SHOE-104,Grey/40-SHOE-104,Grey/41-SHOE-104,Grey/42-SHOE-104,Grey/43-SHOE-104,Grey/44-SHOE-104","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0"
lotto-mens-sprint.jpg,"Lotto Men Sprint Sneaker",SHOE-105,standard,Lotto,জেন্টস,pair,1750.00,2650.00,"Trendy casual sports sneakers for daily use and workouts","Color[White/Black],Size[39/40/41/42/43]","White/39,White/40,White/41,White/42,White/43,Black/39,Black/40,Black/41,Black/42,Black/43","White/39-SHOE-105,White/40-SHOE-105,White/41-SHOE-105,White/42-SHOE-105,White/43-SHOE-105,Black/39-SHOE-105,Black/40-SHOE-105,Black/41-SHOE-105,Black/42-SHOE-105,Black/43-SHOE-105","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0"
avijatry-gents-sandal.jpg,"Avijatry জেন্টস দুই ফিতা স্যান্ডেল R-10",SHOE-106,standard,Avijatry,"দুই ফিতা",pair,450.00,750.00,"আভিজাত্য জেন্টস দুই ফিতা আরামদায়ক ক্যাজুয়াল স্যান্ডেল","Color[Black/Brown],Size[39/40/41/42/43]","Black/39,Black/40,Black/41,Black/42,Black/43,Brown/39,Brown/40,Brown/41,Brown/42,Brown/43","Black/39-SHOE-106,Black/40-SHOE-106,Black/41-SHOE-106,Black/42-SHOE-106,Black/43-SHOE-106,Brown/39-SHOE-106,Brown/40-SHOE-106,Brown/41-SHOE-106,Brown/42-SHOE-106,Brown/43-SHOE-106","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0"
bata-comfit-two-strap.jpg,"Bata Comfit Two Strap Sandal",SHOE-107,standard,Bata,"দুই ফিতা",pair,650.00,1190.00,"Soft cushioned footbed double strap gents daily wear sandal","Color[Black/Chocolate],Size[40/41/42/43]","Black/40,Black/41,Black/42,Black/43,Chocolate/40,Chocolate/41,Chocolate/42,Chocolate/43","Black/40-SHOE-107,Black/41-SHOE-107,Black/42-SHOE-107,Black/43-SHOE-107,Chocolate/40-SHOE-107,Chocolate/41-SHOE-107,Chocolate/42-SHOE-107,Chocolate/43-SHOE-107","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0"
apex-twintape-sandal.jpg,"Apex Mens Twin-Strap Leather Sandal",SHOE-108,standard,Apex,"দুই ফিতা",pair,750.00,1390.00,"Durable leather upper twin-strap men sandal with non-slip sole","Color[Black/Tan],Size[39/40/41/42]","Black/39,Black/40,Black/41,Black/42,Tan/39,Tan/40,Tan/41,Tan/42","Black/39-SHOE-108,Black/40-SHOE-108,Black/41-SHOE-108,Black/42-SHOE-108,Tan/39-SHOE-108,Tan/40-SHOE-108,Tan/41-SHOE-108,Tan/42-SHOE-108","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0"
bay-gents-slide-sandal.jpg,"Bay Gents Dual Strap Slide Sandal",SHOE-109,standard,Bay,"দুই ফিতা",pair,520.00,890.00,"Lightweight durable two strap slipper for men","Color[Black/Olive],Size[40/41/42/43]","Black/40,Black/41,Black/42,Black/43,Olive/40,Olive/41,Olive/42,Olive/43","Black/40-SHOE-109,Black/41-SHOE-109,Black/42-SHOE-109,Black/43-SHOE-109,Olive/40-SHOE-109,Olive/41-SHOE-109,Olive/42-SHOE-109,Olive/43-SHOE-109","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0"
avijatry-gents-nagra.jpg,"Avijatry জেন্টস নাগড়া স্পেশাল N-01",SHOE-110,standard,Avijatry,নাগড়া,pair,700.00,1250.00,"আভিজাত্য জেন্টস এক্সক্লুসিভ পার্টি নাগড়া জুতা","Color[Black/Maroon],Size[39/40/41/42/43]","Black/39,Black/40,Black/41,Black/42,Black/43,Maroon/39,Maroon/40,Maroon/41,Maroon/42,Maroon/43","Black/39-SHOE-110,Black/40-SHOE-110,Black/41-SHOE-110,Black/42-SHOE-110,Black/43-SHOE-110,Maroon/39-SHOE-110,Maroon/40-SHOE-110,Maroon/41-SHOE-110,Maroon/42-SHOE-110,Maroon/43-SHOE-110","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0"
bata-traditional-nagra.jpg,"Bata Traditional Men Nagra",SHOE-111,standard,Bata,নাগড়া,pair,850.00,1490.00,"Handcrafted traditional ethnic embroidered nagra for weddings and festivals","Color[Black/Golden],Size[40/41/42/43]","Black/40,Black/41,Black/42,Black/43,Golden/40,Golden/41,Golden/42,Golden/43","Black/40-SHOE-111,Black/41-SHOE-111,Black/42-SHOE-111,Black/43-SHOE-111,Golden/40-SHOE-111,Golden/41-SHOE-111,Golden/42-SHOE-111,Golden/43-SHOE-111","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0"
apex-royal-nagra.jpg,"Apex Royal Velvet Nagra",SHOE-112,standard,Apex,নাগড়া,pair,950.00,1750.00,"Royal velvet fabric embroidered ethnic wedding nagra","Color[Navy/Burgundy],Size[39/40/41/42]","Navy/39,Navy/40,Navy/41,Navy/42,Burgundy/39,Burgundy/40,Burgundy/41,Burgundy/42","Navy/39-SHOE-112,Navy/40-SHOE-112,Navy/41-SHOE-112,Navy/42-SHOE-112,Burgundy/39-SHOE-112,Burgundy/40-SHOE-112,Burgundy/41-SHOE-112,Burgundy/42-SHOE-112","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0"
apex-ladies-block-heel.jpg,"Apex Ladies Block Heel Sandal",SHOE-113,standard,Apex,লেডিস,pair,1100.00,1890.00,"Elegant comfortable block heel formal party sandals for women","Color[Black/Beige],Size[36/37/38/39/40]","Black/36,Black/37,Black/38,Black/39,Black/40,Beige/36,Beige/37,Beige/38,Beige/39,Beige/40","Black/36-SHOE-113,Black/37-SHOE-113,Black/38-SHOE-113,Black/39-SHOE-113,Black/40-SHOE-113,Beige/36-SHOE-113,Beige/37-SHOE-113,Beige/38-SHOE-113,Beige/39-SHOE-113,Beige/40-SHOE-113","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0"
bata-ladies-comfort-wedge.jpg,"Bata Ladies Comfit Wedge Sandal",SHOE-114,standard,Bata,লেডিস,pair,950.00,1590.00,"Comfortable ergonomic wedge heel ladies daily walking sandal","Color[Black/Maroon],Size[36/37/38/39]","Black/36,Black/37,Black/38,Black/39,Maroon/36,Maroon/37,Maroon/38,Maroon/39","Black/36-SHOE-114,Black/37-SHOE-114,Black/38-SHOE-114,Black/39-SHOE-114,Maroon/36-SHOE-114,Maroon/37-SHOE-114,Maroon/38-SHOE-114,Maroon/39-SHOE-114","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0"
